Code;RegionName;Population;TotalCensus;TotalVotes;AbstentionPtge;BlankVotesPtge;NullVotesPtge;PP_Ptge;PSOE_Ptge;Podemos_Ptge;Ciudadanos_Ptge;Others_Ptge;Age_0-4_Ptge;Age_5-9_Ptge;Age_10-14_Ptge;Age_15-19_Ptge;Age_20-24_Ptge;Age_25-29_Ptge;Age_30-34_Ptge;Age_35-39_Ptge;Age_40-44_Ptge;Age_45-49_Ptge;Age_50-54_Ptge;Age_55-59_Ptge;Age_60-64_Ptge;Age_65-69_Ptge;Age_70-74_Ptge;Age_75-79_Ptge;Age_80-84_Ptge;Age_85-89_Ptge;Age_90-94_Ptge;Age_95-99_Ptge;Age_100+_Ptge;ManPopulationPtge;WomanPopulationPtge;SpanishPtge;ForeignersPtge;SameComAutonPtge;SameComAutonDiffProvPtge;DifComAutonPtge;UnemployLess25_Ptge;Unemploy25_40_Ptge;UnemployMore40_Ptge;UnemployLess25_population_Ptge;Unemploy25_40_population_Ptge;UnemployMore40_population_Ptge;AgricultureUnemploymentPtge;IndustryUnemploymentPtge;ConstructionUnemploymentPtge;ServicesUnemploymentPtge;NotJobBeforeUnemploymentPtge
8019;Barcelona;1604555;1136354;768170;32.4;0.755;0.539;15.134;14.01;0;11.279;58.283;4.279;4.276;4.028;3.953;4.772;6.426;7.963;8.726;8.065;7.29;6.846;6.242;5.51;5.515;4.688;3.796;3.777;2.457;1.096;0.254;0.043;47.335;52.665;83.643;16.357;59.614;2.994;18.371;4.651;41.448;53.901;0.23;2.046;2.661;0.467;8.371;7.724;78.827;4.611
28079;Madrid;3141991;2363829;1743924;26.225;0.508;0.606;39.956;18.92;21.075;16.498;2.437;4.681;4.665;4.315;4.105;4.754;5.999;7.468;8.509;8.38;7.925;7.366;6.258;5.085;4.98;4.534;3.803;3.664;2.275;0.972;0.223;0.039;46.486;53.514;87.883;12.117;53.139;0;27.526;6.395;43.351;50.254;0.399;2.706;3.136;0.76;5.239;8.927;79.575;5.498
46250;Valencia;786189;578722;442973;23.457;0.574;0.636;35.912;17.336;0;15.341;30.201;4.372;4.929;4.611;4.438;4.959;5.664;6.885;8.29;8.265;7.992;7.391;6.545;5.722;5.537;4.65;3.635;3.182;1.945;0.786;0.167;0.035;47.735;52.265;88.139;11.861;65.269;2.42;18.53;5.886;41.687;52.427;0.479;3.394;4.269;1.947;9.489;8.111;74.893;5.56
41091;Sevilla;693878;541989;385251;28.919;0.856;0.82;33.734;27.813;20.743;13.602;2.432;4.832;5.372;4.985;4.7;5.32;5.851;7.147;8.307;7.988;7.896;7.378;6.41;5.396;5.269;4.508;3.434;2.793;1.582;0.637;0.148;0.047;47.5;52.5;95.318;4.682;84.593;9.657;8.284;8.146;44.279;47.575;0.933;5.072;5.449;1.848;5.658;8.449;70.002;14.042
48020;Bilbao;345141;273627;184710;32.496;0.642;0.586;16.872;14.215;27.114;4.048;36.523;3.984;4.175;4.06;3.887;4.191;5.118;6.264;7.506;7.804;7.924;8.174;7.385;6.024;5.703;4.882;4.314;4.446;2.741;1.138;0.238;0.041;47.101;52.899;92.804;7.196;67.647;1.99;22.344;5.917;45.411;48.672;0.479;3.676;3.94;1.961;8.032;10.255;66.662;13.09
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Partido;Barcelona;Madrid;Valencia;Sevilla;Bilbao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PP;15;40;36;34;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSOE;14;19;17;28;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PODEMOS;0;21;0;21;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CIUDADANOS;11;16;15;14;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
